"position","token","kl_deep","kl_norm"
"0","<tool_call>","0.251016","0.229513"
"1","
","0.762245","0.701932"
"2"," addCriterion","0.246142","0.225009"
"3","

","0.016807","0.013083"
"4","matchCondition","0.514243","0.472757"
"5","

","0.051097","0.044770"
"6"," 自动生成","0.053282","0.046789"
"7","的","0.023903","0.019641"
"8","图片","0.051691","0.045319"
"9","描述","0.009246","0.006096"
"10","如下","0.010650","0.007394"
"11","：

","0.077518","0.069185"
"12","这","0.197356","0.179926"
"13","是一","1.084799","1.000000"
"14","张","0.093877","0.084303"
"15","展示","0.299946","0.274728"
"16","绿色","0.221824","0.202537"
"17","苹果","0.669790","0.616496"
"18","堆","0.267085","0.244362"
"19","叠","0.121363","0.109702"
"20","在","0.090327","0.081022"
"21","白色","0.282382","0.258498"
"22","碗","0.492662","0.452815"
"23","里的","0.022109","0.017982"
"24","特","0.168497","0.153258"
"25","写","0.158927","0.144414"
"26","照片","0.174169","0.158500"
"27","。","0.378151","0.346996"
"28","画面","0.301389","0.276062"
"29","中心","0.093002","0.083494"
"30","是","0.123481","0.111660"
"31","几","0.116543","0.105248"
"32","颗","0.069280","0.061573"
"33","大小","0.070580","0.062774"
"34","不","0.049193","0.043010"
"35","一","0.412183","0.378445"
"36","、","0.097102","0.087283"
"37","颜色","0.038825","0.033430"
"38","均匀","0.045435","0.039538"
"39","的","0.009309","0.006155"
"40","绿","0.072095","0.064174"
"41","苹果","0.026274","0.021832"
"42","，","0.035081","0.029970"
"43","它们","0.033197","0.028229"
"44","紧密","0.040178","0.034680"
"45","地","0.024350","0.020054"
"46","堆","0.028210","0.023621"
"47","在一起","0.007054","0.004071"
"48","。","0.097572","0.087717"
"49","苹果","0.084298","0.075451"
"50","的颜色","0.082595","0.073877"
"51","主要是","0.100100","0.090053"
"52","鲜","0.024947","0.020605"
"53","亮","0.068267","0.060637"
"54","的","0.021694","0.017599"
"55","绿色","0.034803","0.029713"
"56","，","0.032028","0.027149"
"57","有些","0.092800","0.083308"
"58","地方","0.106694","0.096147"
"59","还","0.058760","0.051851"
"60","带有","0.112472","0.101486"
"61","淡淡的","0.179925","0.163819"
"62","黄","0.087852","0.078735"
"63","绿色","0.108096","0.097442"
"64","调","0.116124","0.104861"
"65","，","0.032925","0.027977"
"66","表面","0.063954","0.056651"
"67","光滑","0.019492","0.015565"
"68","有","0.194647","0.177423"
"69","光泽","0.205437","0.187393"
"70","，","0.056929","0.050160"
"71","显示出","0.031566","0.026722"
"72","新鲜","0.020710","0.016690"
"73","的状态","0.009640","0.006461"
"74","。

","0.051188","0.044854"
"75","这些","0.251426","0.229892"
"76","苹果","0.016133","0.012460"
"77","呈现出","0.023536","0.019302"
"78","不同程度","0.130825","0.118445"
"79","的","0.350362","0.321317"
"80","成熟","0.173986","0.158330"
"81","度","0.019504","0.015575"
"82","，","0.034798","0.029708"
"83","有的","0.047017","0.041000"
"84","苹果","0.140853","0.127713"
"85","顶部","0.068535","0.060884"
"86","稍微","0.116562","0.105265"
"87","有一点","0.314822","0.288475"
"88","褐色","0.345109","0.316462"
"89","的","0.068409","0.060768"
"90","痕迹","0.085703","0.076749"
"91","，","0.032031","0.027151"
"92","可能是","0.054638","0.048043"
"93","自然","0.042909","0.037204"
"94","成熟","0.062505","0.055312"
"95","过程","0.052681","0.046234"
"96","中的","0.025563","0.021175"
"97","正常","0.126537","0.114483"
"98","现象","0.188091","0.171364"
"99","或是","0.047989","0.041899"
"100","局部","0.029072","0.024417"
"101","瑕疵","0.051093","0.044766"
"102","。","0.021221","0.017162"
"103","每","0.669241","0.615989"
"104","颗","0.007489","0.004473"
"105","苹果","0.007018","0.004037"
"106","上","0.024588","0.020274"
"107","都有","0.021503","0.017423"
"108","一个","0.111618","0.100697"
"109","明显","0.050160","0.043905"
"110","的小","0.152086","0.138092"
"111","圆","0.134296","0.121653"
"112","孔","0.033099","0.028139"
"113","，","0.026117","0.021686"
"114","这是","0.035098","0.029986"
"115","苹果","0.093828","0.084257"
"116","的","0.136190","0.123404"
"117","果","0.103055","0.092784"
"118","梗","0.041174","0.035601"
"119","茎","0.019637","0.015699"
"120","眼","0.047082","0.041060"
"121","。

","0.029050","0.024396"
"122","背景","0.203888","0.185962"
"123","部分","0.072040","0.064123"
"124","较为","0.051639","0.045271"
"125","模糊","0.196918","0.179521"
"126","，","0.012570","0.009168"
"127","突","0.036473","0.031256"
"128","出了","0.131641","0.119199"
"129","前景","0.040488","0.034967"
"130","中","0.016617","0.012907"
"131","那些","0.013655","0.010170"
"132","鲜艳","0.036553","0.031331"
"133","的","0.016786","0.013064"
"134","绿色","0.025687","0.021289"
"135","水果","0.059573","0.052603"
"136","。","0.020949","0.016911"
"137","背景","0.017162","0.013412"
"138","色调","0.018430","0.014583"
"139","较为","0.036782","0.031542"
"140","柔和","0.087260","0.078188"
"141","，","0.016203","0.012525"
"142","没有","0.046823","0.040820"
"143","明显的","0.023185","0.018977"
"144","细节","0.073344","0.065328"
"145","信息","0.017855","0.014051"
"146","可以","0.025632","0.021238"
"147","分辨","0.030316","0.025567"
"148","出","0.058087","0.051230"
"149","具体","0.042134","0.036488"
"150","的位置","0.060744","0.053685"
"151","或","0.070331","0.062544"
"152","环境","0.045349","0.039459"
"153","。","0.024050","0.019777"
"154","整体","0.108853","0.098142"
"155","来说","0.010585","0.007333"
"156","，","0.019666","0.015725"
"157","这个","0.007000","0.004021"
"158","图像","0.051385","0.045037"
"159","给人一种","0.008300","0.005222"
"160","温馨","0.013510","0.010037"
"161","而","0.027441","0.022910"
"162","自然","0.020603","0.016591"
"163","的感觉","0.019925","0.015964"
"164","，在","0.058401","0.051520"
"165","日常","0.016870","0.013141"
"166","生活中","0.017882","0.014077"
"167","可能会","0.013913","0.010409"
"168","出现在","0.092610","0.083132"
"169","厨房","0.022783","0.018606"
"170","或者","0.012606","0.009201"
"171","餐","0.029283","0.024612"
"172","桌上","0.002649","0.000000"
"173","用来","0.008423","0.005336"
"174","装","0.030894","0.026101"
"175","点","0.006733","0.003774"
"176","食物","0.015665","0.012028"
"177","的","0.014324","0.010789"
"178","场景","0.027981","0.023409"
"179","。

","0.019067","0.015171"
"180","整个","0.488538","0.449003"
"181","画面","0.037564","0.032265"
"182","光线","0.007266","0.004266"
"183","充足","0.008144","0.005078"
"184","但","0.004452","0.001666"
"185","并不","0.082178","0.073492"
"186","刺","0.057169","0.050382"
"187","眼","0.049492","0.043287"
"188","，","0.044074","0.038280"
"189","使得","0.025028","0.020680"
"190","苹果","0.033223","0.028253"
"191","显得","0.013510","0.010036"
"192","饱满","0.014866","0.011290"
"193","且","0.008195","0.005125"
"194","富有","0.023265","0.019051"
"195","质感","0.014462","0.010916"
"196","。","0.024974","0.020630"
"197","白色的","0.018831","0.014954"
"198","碗","0.030673","0.025897"
"199","为","0.017192","0.013439"
"200","整个","0.028217","0.023627"
"201","构","0.010629","0.007375"
"202","图","0.052539","0.046103"
"203","增添","0.009889","0.006690"
"204","了一份","0.033661","0.028657"
"205","干净","0.014823","0.011249"
"206","和","0.027771","0.023215"
"207","简约","0.015718","0.012077"
"208","之美","0.021106","0.017056"
"209","，并","0.024762","0.020434"
"210","与","0.061234","0.054138"
"211","深","0.021715","0.017619"
"212","色","0.050749","0.044448"
"213","背景","0.055616","0.048946"
"214","形成","0.008412","0.005325"
"215","鲜明","0.003103","0.000419"
"216","对比","0.003090","0.000408"
"217","，","0.015047","0.011457"
"218","使","0.015159","0.011560"
"219","苹果","0.012393","0.009004"
"220","更加","0.008401","0.005316"
"221","突出","0.004670","0.001868"
"222","。","0.006040","0.003133"
