image_id,caption_len,n_layers,residual_ratio,share_tail,head_tail_ratio,model_id,prompt_key,caption_ref
indoor_0,200,24,0.9316082000732422,0.36981266736984253,,HuggingFaceTB/SmolVLM-Instruct,caption_medium,"The image depicts a panoramic view of an interior space within what appears to be a modern train compartment. The scene is composed mainly of several passengers seated on various seating arrangements, suggesting it might be a commuter train or public transportation vehicle. 

The interior design features a light color palette with white walls and light wood accents, giving the space a clean and well-lit feel. A notable element is the large window at the center, which provides a clear view outside. The seats are arranged in a semi-circle format, providing enough space for each passenger while maintaining comfort. Each seat has adjustable armrests and back support features, common in modern trains.

There are multiple individuals seated throughout the compartment. Some of them are reading books or using electronic devices, indicating they might be travelers waiting for their stop or passengers already onboard. One person in particular is seen holding a cell phone, which indicates they might be taking pictures or video for documentation purposes.

On one side of the train"
indoor_1,165,24,0.8713765740394592,0.3854745924472809,,HuggingFaceTB/SmolVLM-Instruct,caption_medium,"The image depicts a person standing inside what appears to be a building. On their right, there is a map with various markings on it. The map has labels in different languages including Russian, English, Italian, and German. Some of the words can be identified as ""место"" (place), ""куда"" (where), ""производитель"" (producer), ""торговцы"" (traders), ""врачи"" (doctors), ""столбцы"" (columns), and more. In the background, there are two people facing each other, one holding what seems to be a camera and another wearing a jacket. They are reflected in the mirror below, adding an interesting element to the image."
indoor_10,200,24,0.902222752571106,0.19252701103687286,,HuggingFaceTB/SmolVLM-Instruct,caption_medium,"The image depicts a wide-angle interior view of an abandoned house. The perspective is taken through what appears to be a panoramic mirror or a fisheye lens due to the way the walls converge toward the center of the frame. This creates a distorted effect with wide gaps between the edges of the walls. 

The primary subjects are various areas within the room, showcasing different rooms and hallways. The left side shows part of the living room where there's a cushioned sectional sofa against one wall. The couch has several decorative items on it including pillows, blankets, and possibly some throw rugs or curtains. Next to this is another seating area or possibly a dining table area, as indicated by the presence of a rectangular object which might be a chair, although only a small portion is visible in the corner of the frame. 

On the right side, we see more of the living space but also notice part of another room. There seems to be an open doorway leading into this"
indoor_100,200,24,0.9462741017341614,0.4601326882839203,,HuggingFaceTB/SmolVLM-Instruct,caption_medium,"The image depicts a group of people sitting around a table at a restaurant or café. The room is well-lit, with large windows providing ample natural light. The tables are made of wood, with a polished surface that reflects the diners' faces and the surrounding environment. The chairs are upholstered in different colors, including blue and green.

There are several items on the table. In the foreground, there are two menus placed horizontally. One menu appears to have the word ""menu"" printed on it in large font, indicating it might belong to the establishment itself. There are also small glass cups filled with a beverage—possibly water or another drink—on the table. Two red plastic cups can be seen towards the back of the table as well.

The background shows part of the interior design of the dining area, including what seems like an adjacent booth with chairs and possibly decorations or artwork. A large, curved mirror gives a side view of the room, showing reflections"
indoor_101,177,24,0.9519736170768738,0.4094056785106659,,HuggingFaceTB/SmolVLM-Instruct,caption_medium,"The image shows a long shot of a wood shop, including several workers around various machines and tools. There are two large windows with lights on top. A large blue touch screen monitor stands in front of some shelves filled with wooden planks. A man is standing next to it and appears to be interacting with the monitor. Behind him, there are more shelves full of wooden planks and other materials, and another person can barely be seen behind these shelves. Several other people can also be partially seen around other machines or tools. The floor is made of concrete and has yellow striped caution tape along one side. On the right side of the room, there is an open doorway leading outside where a person seems to be walking away. The walls have white paint. In addition to the light fixtures and safety markings mentioned above, there are also pipes running down the wall in the back corner of the scene."
indoor_102,81,24,0.9233709573745728,0.322516530752182,,HuggingFaceTB/SmolVLM-Instruct,caption_medium,"The image is a fisheye lens view of an old building with a central door open, showing light coming through it. There are some people standing inside the building. One person is wearing a hoodie while another is holding what appears to be a camera or other object. On the floor are several sleeping bags and blankets on wooden benches, indicating this space could serve as a shelter or rest area."
indoor_103,143,24,0.9164775609970093,0.22689735889434814,,HuggingFaceTB/SmolVLM-Instruct,caption_medium,"The image is a 360-degree panoramic photograph of a room with various equipment and storage facilities. The room has a polished concrete floor, which reflects light well. There are several white cabinets along one wall with small cubbies on them. Some of these shelves contain boxes and other items, while others appear empty. Along another wall, there are black toolboxes on top of rolling racks. Next to this tool set is a table with two chairs, and there appears to be a blue mat beneath it. Several more tables and chairs are positioned around the room, as well as more tools and supplies. There are also monitors mounted to the walls near each corner, showing what appears to be a video feed."
indoor_104,200,24,0.9547978639602661,0.24571044743061066,,HuggingFaceTB/SmolVLM-Instruct,caption_medium,"The image is a 360-degree panorama of what appears to be an artist's studio. It features various sculptures made from clay, including a large skull sculpture in the center. The skull has its eyes missing and multiple cracks running across it. Next to it is a smaller figure with its head tilted downwards. There are several other figures and statues scattered around the room. A wooden table holds more figures, including another small statue and a human figure standing on top of it. 

The interior design of the room includes brick walls and wooden tables. Several windows can be seen along the sides of the room, providing natural light and allowing for outdoor scenery to enter the space. At the top left corner of the image, there are electrical wires hanging down towards the ceiling, suggesting some type of machinery or lighting equipment near the roof. 

In the foreground of the image, two people are present. One person is seated at a table while the other one stands nearby, both looking toward"
indoor_105,200,24,0.9691206812858582,0.34604716300964355,,HuggingFaceTB/SmolVLM-Instruct,caption_medium,"The image depicts a scene inside what appears to be an airport terminal or bus station. There are several people sitting on benches positioned around a central area where multiple individuals stand. These seated figures appear to be waiting for their next destination. 

One prominent individual stands prominently in the center of this gathering; they have a green shirt with ""MUELL"" written across the chest. The man has short hair and is wearing glasses. He seems to be looking at something or someone while standing. His attire includes gray pants and light-colored shoes.

In front of him, there's another person who holds up a map, indicating they might be seeking directions or planning their travel. This person has tattoos on their arms and wears a t-shirt with colorful patterns, including a Grateful Dead logo. They also wear a baseball cap and have luggage near them.

The background shows part of the interior architecture, which is modern and sleek. The ceiling is curved with wooden panels, and"
indoor_106,200,24,0.9308215975761414,0.3248257040977478,,HuggingFaceTB/SmolVLM-Instruct,caption_medium,"The image depicts an indoor space that appears to be an office or conference room with a modern design and contemporary furniture layout. The room is brightly lit by numerous recessed ceiling lights, which provide even illumination throughout the area. The floor is covered with dark carpeting, while the walls are adorned with large windows that offer ample natural light.

Central to the room is a series of tables arranged in a semi-circle around what looks like a large screen or projector. These tables feature white bases with orange chairs placed around them. Each table has a flat surface, suitable for collaborative work or presentations, and they appear to be designed for flexibility and ease of movement as part of the workspace setup. 

In the center of the room, there's a larger central table with additional seating around it. This central table also features a similar design to the smaller tables but is possibly more durable and likely intended for longer meetings or presentations. Surrounding this central table are several smaller tables with various colors, including some"
